Fecha Semana,No Semana,Afiliación,Solicitud Nuevos,Solicitud Reconectados,Bolsa,Nuevos,Total,Congelados,Activas
2025-10-03,1,Aeropuerto Auto,30.0,15.0,16.0,10.0,271.0,34.0,237.0
2025-10-03,2,Aeropuerto Van,7.0,3.0,,,18.0,1.0,17.0
2025-10-03,3,Aerolíneas Auto,25.0,,10.0,5.0,145.0,23.0,122.0
2025-10-03,4,Ciudad,50.0,,10.0,5.0,343.0,66.0,277.0
2025-10-03,5,BASICS,50.0,,,0.0,7.0,2.0,5.0
2025-10-03,6,Jockey,8.0,4.0,0.0,0.0,67.0,7.0,60.0
2025-10-03,7,La Marina,5.0,3.0,,0.0,25.0,3.0,22.0
2025-10-03,8,Bellavista,3.0,1.0,,0.0,37.0,9.0,28.0
2025-10-03,9,Angamos,3.0,1.0,,0.0,7.0,1.0,6.0
2025-03-17,1,Aeropuerto Auto,30.0,15.0,12.0,7.0,270.0,23.0,247.0
2025-03-17,2,Aeropuerto Van,7.0,3.0,,,18.0,1.0,17.0
2025-03-17,3,Aerolíneas Auto,25.0,,9.0,5.0,151.0,28.0,123.0
2025-03-17,4,Ciudad,50.0,,13.0,7.0,336.0,43.0,293.0
2025-03-17,5,BASICS,50.0,,,0.0,7.0,1.0,6.0
2025-03-17,6,Jockey,8.0,4.0,1.0,0.0,65.0,5.0,60.0
2025-03-17,7,La Marina,5.0,3.0,,0.0,25.0,3.0,22.0
2025-03-17,8,Bellavista,3.0,1.0,,0.0,37.0,6.0,31.0
2025-03-17,9,Angamos,3.0,1.0,,0.0,6.0,1.0,5.0
2025-03-24,1,Aeropuerto Auto,30.0,15.0,12.0,8.0,276.0,27.0,249.0
2025-03-24,2,Aeropuerto Van,7.0,3.0,,,19.0,3.0,16.0
2025-03-24,3,Aerolíneas Auto,25.0,,9.0,4.0,153.0,24.0,129.0
2025-03-24,4,Ciudad,50.0,,12.0,7.0,331.0,40.0,291.0
2025-03-24,5,BASICS,50.0,,,0.0,7.0,2.0,5.0
2025-03-24,6,Jockey,8.0,4.0,1.0,0.0,67.0,4.0,63.0
2025-03-24,7,La Marina,5.0,3.0,,0.0,26.0,3.0,23.0
2025-03-24,8,Bellavista,3.0,1.0,,0.0,36.0,3.0,33.0
2025-03-24,9,Angamos,3.0,1.0,,0.0,6.0,1.0,5.0
2025-03-31,1,Aeropuerto Auto,30.0,15.0,15.0,9.0,278.0,30.0,248.0
2025-03-31,2,Aeropuerto Van,7.0,3.0,,,20.0,2.0,18.0
2025-03-31,3,Aerolíneas Auto,25.0,,7.0,5.0,160.0,22.0,138.0
2025-03-31,4,Ciudad,50.0,,17.0,4.0,332.0,54.0,278.0
2025-03-31,5,BASICS,50.0,,,0.0,5.0,0.0,5.0
2025-03-31,6,Jockey,8.0,4.0,,1.0,67.0,4.0,63.0
2025-03-31,7,La Marina,5.0,3.0,,1.0,26.0,5.0,21.0
2025-03-31,8,Bellavista,3.0,1.0,1.0,0.0,36.0,4.0,32.0
2025-03-31,9,Angamos,3.0,1.0,,1.0,7.0,1.0,6.0
2025-04-07,1,Aeropuerto Auto,41.0,,7.0,5.0,283.0,29.0,254.0
2025-04-07,2,Aeropuerto Van,1.0,,,0.0,20.0,1.0,19.0
2025-04-07,3,Aerolíneas Auto,25.0,,5.0,5.0,166.0,28.0,138.0
2025-04-07,4,Ciudad,41.0,,27.0,10.0,328.0,54.0,274.0
2025-04-07,5,BASICS,0.0,0.0,2.0,0.0,5.0,0.0,5.0
2025-04-07,6,Jockey,13.0,,,0.0,68.0,4.0,64.0
2025-04-07,7,La Marina,11.0,,1.0,1.0,26.0,5.0,21.0
2025-04-07,8,Bellavista,7.0,,,0.0,36.0,3.0,33.0
2025-04-07,9,Angamos,5.0,,,0.0,7.0,1.0,6.0
2025-04-14,1,Aeropuerto Auto,41.0,,13.0,7.0,287.0,30.0,257.0
2025-04-14,2,Aeropuerto Van,1.0,,0.0,0.0,19.0,1.0,18.0
2025-04-14,3,Aerolíneas Auto,25.0,,4.0,1.0,164.0,27.0,137.0
2025-04-14,4,Ciudad,41.0,,22.0,9.0,325.0,35.0,290.0
2025-04-14,5,BASICS,0.0,0.0,2.0,0.0,5.0,1.0,4.0
2025-04-14,6,Jockey,13.0,,0.0,0.0,71.0,4.0,67.0
2025-04-14,7,La Marina,11.0,,0.0,0.0,27.0,5.0,22.0
2025-04-14,8,Bellavista,7.0,,0.0,0.0,36.0,5.0,31.0
2025-04-14,9,Angamos,5.0,,0.0,0.0,6.0,2.0,4.0
2025-04-21,1,Aeropuerto Auto,41.0,,10.0,6.0,285.0,39.0,246.0
2025-04-21,2,Aeropuerto Van,1.0,,0.0,0.0,19.0,3.0,16.0
2025-04-21,3,Aerolíneas Auto,25.0,,3.0,4.0,156.0,22.0,134.0
2025-04-21,4,Ciudad,41.0,,6.0,4.0,323.0,55.0,268.0
2025-04-21,5,BASICS,0.0,0.0,0.0,0.0,5.0,0.0,5.0
2025-04-21,6,Jockey,13.0,,2.0,1.0,68.0,0.0,68.0
2025-04-21,7,La Marina,11.0,,0.0,0.0,28.0,0.0,28.0
2025-04-21,8,Bellavista,7.0,,1.0,1.0,34.0,1.0,33.0
2025-04-21,9,Angamos,5.0,,0.0,0.0,4.0,0.0,4.0
2025-04-28,1,Aeropuerto Auto,41.0,,15.0,6.0,278.0,33.0,245.0
